Soil ID,Year,Depth (cm),Volume (cm3),Dry Roots (g),Bulk Density (g/cm3),%N,%C,C stock (g/cm2),C stock (kg/m2),Root Biomass  (g/cm2),Root Biomass (kg/m2)
Pristine Low,2019,0-15,203.7812513,3.66,0.736434056,0.46489801,6.011796997,0.664093807,6.64093807,0.269406531,2.694065311
Pristine Low,2019,15-30,118.8723966,1.23,1.198193303,0.253089292,3.078284005,0.553256892,5.532568918,0.155208446,1.552084465
Pristine Low 2,2019,15-30,203.7812513,0.88,0.843912698,0.21243568,2.5417374,0.32175067,3.2175067,0.064775341,0.647753408
Pristine Low 2,2019,0-15,169.8177094,4.67,0.894779837,0.511027562,6.842709466,0.918407769,9.18407769,0.412501148,4.125011476
Pristine Low,2019,30-45,144.345053,0.43,1.058504542,0.253913557,3.206012097,0.509036755,5.090367548,0.044684593,0.446845934
Pristine Mid,2019,0-15,254.7265641,6.68,0.661331059,0.374673091,5.611130122,0.556622194,5.56622194,0.393362979,3.933629787
Pristine Mid,2019,15-30,186.7994803,0.54,1.166553708,0.110165122,1.593788536,0.278885989,2.78885989,0.043362005,0.43362005
Pristine Mid,2019,30-45,161.3268239,0.2,1.29649087,0.072321554,1.264185758,0.245850794,2.458507939,0.018595792,0.185957916
Pristine Upper,2019,0-15,254.7265641,0.25,1.134079245,0.355616127,4.47565501,0.761362118,7.613621183,0.014721668,0.147216684
Pristine Upper,2019,15-30,161.3268239,0.01,1.388278495,0.130964631,1.569093717,0.32675086,3.267508597,0.00092979,0.009297896
Pristine Upper,2019,30-45,254.7265641,0.05,1.209052324,0.125420502,1.579686805,0.286488601,2.864886005,0.002944334,0.029443337
